reg_date,hour_reg,day_of_reg,rain_group,holiday_yn,y_pred_Lasso,y_pred_LGBM,y_pred_RF,y_pred_avg_three,y_pred_avg_lgbm_rf,y_pred_avg_rf_la
2023-06-10,23,토요일,no,1,18.514537591111377,19.57841219995367,17.790794617852484,18.627914802972512,18.68460340890308,18.15266610448193
2023-06-06,9,화요일,no,1,26.755316181667766,23.27309209165349,22.160848942508338,24.063085738609868,22.716970517080913,24.45808256208805
2023-06-06,10,화요일,no,1,6.975733593816356,5.239005787377375,3.7907440838087187,5.335161155000816,4.514874935593047,5.383238838812537
2023-06-06,11,화요일,no,1,12.499849812204447,11.9943558595036,12.466970360698408,12.320392010802152,12.230663110101004,12.483410086451428
2023-06-06,12,화요일,no,1,28.807990767044828,24.779599659706086,23.7415797977795,25.776390074843473,24.260589728742794,26.274785282412164
2023-06-06,13,화요일,no,1,30.830811903694645,25.98467302322984,26.578130427057186,27.797871784660558,26.28140172514351,28.704471165375914
2023-06-06,14,화요일,no,1,28.037341139766944,23.0368260747172,22.71923055003398,24.597799254839376,22.87802831237559,25.37828584490046
2023-06-06,15,화요일,no,1,12.086354852808666,11.896090521220353,12.198207868921436,12.060217747650151,12.047149195070894,12.142281360865052
2023-06-06,16,화요일,no,1,31.460659759763075,25.058382210851644,25.885785047524905,27.468275672713208,25.472083629188276,28.67322240364399
2023-06-06,17,화요일,no,1,29.615852583196222,27.789531934754102,27.734664354956568,28.380016290968964,27.762098144855337,28.675258469076397
2023-06-06,18,화요일,no,1,38.918202231237906,26.51255549488874,27.70575759623647,31.04550510745437,27.109156545562605,33.31197991373719
2023-06-06,19,화요일,no,1,31.0936382841464,24.896762234191385,25.600762287607743,27.19705426864851,25.248762260899564,28.347200285877072
2023-06-06,20,화요일,no,1,19.48755703276983,19.93110927715015,19.52307327880967,19.64724652957655,19.72709127797991,19.50531515578975
2023-06-06,21,화요일,no,1,14.119901335545562,13.355839238612386,14.796390665655977,14.090710413271308,14.076114952134182,14.45814600060077
2023-06-06,22,화요일,no,1,16.789030821622546,18.593682724957645,18.11529183133841,17.832668459306202,18.354487278148028,17.45216132648048
2023-06-06,23,화요일,no,1,26.938154762658385,22.30156408012461,22.463435871694724,23.901051571492573,22.382499975909667,24.700795317176556
