"date","hour_reg","pick_rgn2_nm","order_cnt","day_of_reg","order_cnt_ratio","order_cnt_predict"
2023-05-26,9,"성북구",9596.44344096487,"금요일",0.01,96
2023-05-26,9,"중랑구",5635.25981956019,"금요일",0.01,56
2023-05-26,9,"강서구",12972.0539646432,"금요일",0.02,259
2023-05-26,9,"관악구",17169.3045584994,"금요일",0.02,343
2023-05-26,9,"구로구",7463.53765611712,"금요일",0.01,75
2023-05-26,9,"금천구",5828.0406122197,"금요일",0.02,117
2023-05-26,9,"동작구",9984.66287442487,"금요일",0.01,100
2023-05-26,9,"양천구",8220.07441705328,"금요일",0.01,82
2023-05-26,9,"영등포구",11923.3466144349,"금요일",0.02,238
2023-05-26,9,"마포구",12951.7603948816,"금요일",0.02,259
2023-05-26,9,"서대문구",8349.51469135719,"금요일",0.01,83
2023-05-26,9,"용산구",6545.88706379018,"금요일",0.02,131
2023-05-26,9,"은평구",7238.4369553003,"금요일",0.01,72
2023-05-26,9,"종로구",4962.93894459753,"금요일",0.02,99
2023-05-26,9,"중구",4905.5520345417,"금요일",0.02,98
2023-05-27,9,"강남구",26740.7499031543,"토요일",0.02,535
2023-05-27,9,"서초구",14200.5990500085,"토요일",0.02,284
2023-05-27,9,"강동구",9852.21480336873,"토요일",0.01,99
2023-05-27,9,"송파구",22828.174042812,"토요일",0.02,457
2023-05-27,9,"강북구",6433.19621911267,"토요일",0.01,64
2023-05-27,9,"광진구",9614.48308022469,"토요일",0.02,192
2023-05-27,9,"노원구",10189.2584220426,"토요일",0.01,102
2023-05-27,9,"도봉구",5765.64990848633,"토요일",0.01,58
2023-05-27,9,"동대문구",11163.3854945089,"토요일",0.02,223
2023-05-27,9,"성동구",9817.00135586567,"토요일",0.02,196
2023-05-27,9,"성북구",12655.7294416858,"토요일",0.01,127
2023-05-27,9,"중랑구",7951.1189069726,"토요일",0.01,80
2023-05-27,9,"강서구",17285.1926565223,"토요일",0.02,346
2023-05-27,9,"관악구",23488.6645218645,"토요일",0.02,470
2023-05-27,9,"구로구",10017.1308178921,"토요일",0.01,100
2023-05-27,9,"금천구",7690.19766195424,"토요일",0.01,77
2023-05-27,9,"동작구",13482.3438028685,"토요일",0.01,135
2023-05-27,9,"양천구",11220.0849564989,"토요일",0.01,112
2023-05-27,9,"영등포구",15410.0594855632,"토요일",0.02,308
2023-05-27,9,"마포구",16818.5935785289,"토요일",0.02,336
2023-05-27,9,"서대문구",11063.7544213062,"토요일",0.01,111
2023-05-27,9,"용산구",8527.15274048275,"토요일",0.02,171
2023-05-27,9,"은평구",9752.64055912745,"토요일",0.01,98
2023-05-27,9,"종로구",6162.93204485256,"토요일",0.02,123
2023-05-27,9,"중구",5853.76512339643,"토요일",0.02,117
2023-05-28,9,"강남구",24635.4317653067,"일요일",0.02,493
2023-05-28,9,"서초구",13811.3020973462,"일요일",0.02,276
2023-05-28,9,"강동구",9414.57982326978,"일요일",0.02,188
2023-05-28,9,"송파구",22011.8801341735,"일요일",0.02,440
2023-05-28,9,"강북구",6282.16943519968,"일요일",0.01,63
2023-05-28,9,"광진구",9711.180535742,"일요일",0.02,194
2023-05-28,9,"노원구",9633.04272042526,"일요일",0.01,96
2023-05-28,9,"도봉구",5490.74129059662,"일요일",0.01,55
2023-05-28,9,"동대문구",10776.7623196008,"일요일",0.01,108
2023-05-28,9,"성동구",9496.9689215041,"일요일",0.01,95
2023-05-28,9,"성북구",12338.5632209077,"일요일",0.02,247
2023-05-28,9,"중랑구",7671.9288298711,"일요일",0.01,77
