"not_rain_all_predict","test_data_all_not.reg_date","test_data_all_not.hour_reg","test_data_all_not.pick_rgn2_nm"
128.584028325987,2023-05-03,"17","중랑구"
269.159404070688,2023-05-03,"18","강동구"
201.319670927357,2023-05-03,"18","강북구"
461.902112141306,2023-05-03,"18","강서구"
582.377314292961,2023-05-03,"18","관악구"
266.450586133985,2023-05-03,"18","광진구"
291.649115566072,2023-05-03,"18","구로구"
203.058713966138,2023-05-03,"18","금천구"
319.565118467467,2023-05-03,"18","노원구"
146.441737025384,2023-05-03,"18","도봉구"
319.337312857213,2023-05-03,"18","동대문구"
299.179766055667,2023-05-03,"18","동작구"
539.677379344772,2023-05-03,"18","마포구"
323.67699163889,2023-05-03,"18","서대문구"
411.691970195,2023-05-03,"18","서초구"
324.943233988761,2023-05-03,"18","성동구"
373.586672327648,2023-05-03,"18","성북구"
642.465444794772,2023-05-03,"18","송파구"
299.260491804661,2023-05-03,"18","양천구"
461.177464868684,2023-05-03,"18","영등포구"
252.222204064718,2023-05-03,"18","용산구"
271.839281017508,2023-05-03,"18","은평구"
179.260170575419,2023-05-03,"18","종로구"
179.658533696781,2023-05-03,"18","중구"
202.223901078338,2023-05-03,"18","중랑구"
267.478533971475,2023-05-03,"19","강동구"
234.260104570959,2023-05-03,"19","강북구"
490.043918736323,2023-05-03,"19","강서구"
626.753516040629,2023-05-03,"19","관악구"
282.956254926559,2023-05-03,"19","광진구"
291.69373808587,2023-05-03,"19","구로구"
223.123362138113,2023-05-03,"19","금천구"
325.583227994442,2023-05-03,"19","노원구"
161.873993678903,2023-05-03,"19","도봉구"
322.664137806013,2023-05-03,"19","동대문구"
292.86706445707,2023-05-03,"19","동작구"
549.056696302314,2023-05-03,"19","마포구"
313.60760961372,2023-05-03,"19","서대문구"
398.040707156004,2023-05-03,"19","서초구"
297.964518548385,2023-05-03,"19","성동구"
366.001365638968,2023-05-03,"19","성북구"
665.498432663755,2023-05-03,"19","송파구"
307.423667450449,2023-05-03,"19","양천구"
455.072121112307,2023-05-03,"19","영등포구"
259.400868194554,2023-05-03,"19","용산구"
285.851590849626,2023-05-03,"19","은평구"
158.166489109537,2023-05-03,"19","종로구"
176.255699130045,2023-05-03,"19","중구"
232.436901911756,2023-05-03,"19","중랑구"
196.497229764842,2023-05-03,"20","강동구"
175.177624454959,2023-05-03,"20","강북구"
377.974509243237,2023-05-03,"20","강서구"
527.159953485574,2023-05-03,"20","관악구"
231.177828460203,2023-05-03,"20","광진구"
189.463546998131,2023-05-03,"20","구로구"
168.503829342743,2023-05-03,"20","금천구"
243.622366627711,2023-05-03,"20","노원구"
112.745273678234,2023-05-03,"20","도봉구"
221.157644224793,2023-05-03,"20","동대문구"
200.83462868453,2023-05-03,"20","동작구"
390.685396539736,2023-05-03,"20","마포구"
219.939231549422,2023-05-03,"20","서대문구"
256.20247298343,2023-05-03,"20","서초구"
198.848732322137,2023-05-03,"20","성동구"
273.944957903946,2023-05-03,"20","성북구"
499.789580708776,2023-05-03,"20","송파구"
221.018284284274,2023-05-03,"20","양천구"
322.80110617165,2023-05-03,"20","영등포구"
181.7331064859,2023-05-03,"20","용산구"
224.482645215648,2023-05-03,"20","은평구"
96.7735580393916,2023-05-03,"20","종로구"
114.351061667174,2023-05-03,"20","중구"
