"reg_date","rider_cnt","day_of_reg","rain_c","snow_c","is_rain","is_holiday","rider_cnt_w_1","rider_cnt_w_2","rider_cnt_w_3","rider_cnt_w_4","order_cnt_w_1"
2023-04-11,14784,"화요일",2.9,0,1,0,15486,16290,16953,15623,189618
2023-04-12,14871,"수요일",0,0,0,0,15010,15372,15835,17675,185393
2023-04-13,15265,"목요일",0,0,0,0,15355,15742,15913,15828,193666
2023-04-14,16709,"금요일",0,0,0,0,16329,16228,17245,17260,218461
2023-04-15,16968,"토요일",4.6,0,1,0,16180,17396,18304,16013,262548
2023-04-16,16710,"일요일",0,0,0,0,16439,16378,16993,17186,272795
2023-04-17,15336,"월요일",0,0,0,0,15008,15015,14830,15263,183215
2023-04-18,15586,"화요일",1.5,0,1,0,14784,15486,16290,16953,195800
2023-04-19,15300,"수요일",0,0,0,0,14871,15010,15372,15835,190425
2023-04-20,15625,"목요일",0.5,0,1,0,14584,16382,11888,16071,197310
2023-04-21,16872,"금요일",0,0,0,0,16709,16329,16228,17245,223003
2023-04-22,17047,"토요일",0,0,0,0,16695,16700,17162,17617,269082
2023-04-23,16848,"일요일",0,0,0,0,16710,16439,16378,16993,284655
2023-04-24,15515,"월요일",0,0,0,0,15336,15008,15015,14830,190455
2023-04-25,15297,"화요일",0.4,0,1,0,15586,14784,15486,16290,199118
2023-04-26,15217,"수요일",0,0,0,0,15300,14871,15010,15372,194526
2023-04-27,15763,"목요일",0,0,0,0,15265,15355,15742,15913,194631
2023-04-28,16985,"금요일",1.9,0,1,0,17275,16064,15787,17547,243736
2023-04-29,16746,"토요일",25.1,0,1,0,16968,16180,17396,18304,278646
2023-04-30,16663,"일요일",0.1,0,1,0,17141,17126,16363,17935,296881
2023-05-01,16803,"월요일",0,0,0,1,15515,15336,15008,15015,195104
2023-05-02,15956,"화요일",0,0,0,0,15530,15786,16167,16035,185901
2023-05-03,15619,"수요일",0,0,0,0,15217,15300,14871,15010,209078
2023-05-04,16865,"목요일",0,0,0,0,15763,15265,15355,15742,208822
2023-05-05,16497,"금요일",30.2,0,1,1,16985,17275,16064,15787,238315
2023-05-06,16336,"토요일",47.5,0,1,0,16746,16968,16180,17396,291241
2023-05-07,16552,"일요일",0,0,0,0,16848,16710,16439,16378,293836
2023-05-08,16003,"월요일",0,0,0,0,16803,15515,15336,15008,259952
2023-05-09,15997,"화요일",0,0,0,0,15956,15530,15786,16167,198762
2023-05-10,15771,"수요일",0,0,0,0,15619,15217,15300,14871,204557
2023-05-11,16241,"목요일",0,0,0,0,16865,15763,15265,15355,237002
2023-05-12,17241,"금요일",0,0,0,0,16872,16709,16329,16228,230907
